헤드라인,내용요약,키워드,규모,투자금액,공사지역,담당자 연락처,원본기사 URL 링크,pubDate_kst
"'음주운전' 신혜성, 49억 투자한 논현동 건물 매각 추진",그룹 신화 멤버 신혜성이 소유한 강남 논현동 건물 매각을 추진 중인 것으로 알려졌다. 31일 한국일보 따르면 신혜성과 그의 어머니가 감사로 등재된 주식회사 사과먹는공룡은 지난 20,증축 공사,,49,,,https://m.entertain.naver.com/home/article/213/0001359182,2025-10-31 16:35:00+09:00
'음주운전·도박 자숙' 신혜성 근황…49억 투자 논현동 건물 '매각 추진...,신혜성 (엑스포츠뉴스 김유진 기자) 음주운전 적발로 자숙 중인 가수 신혜성의 근황이 전해졌다. 31일 한국일보는 신혜성과 그의 어머니가 감사로 등재된 '주식회사 사과먹는공룡'이 지,증축 공사,180.9㎡,49,,,https://m.entertain.naver.com/home/article/311/0001936370,2025-10-31 14:48:00+09:00
"'2번 음주운전+원정도박 벌금형' 신혜성, 뜻밖의 근황..'49억 투자' 건물...",[스타뉴스 | 김나라 기자] 그룹 신화 신혜성 /사진=스타뉴스그룹 신화 멤버 신혜성이 강남구 논현동 건물 매각을 추진 중인 것으로 전해졌다. 31일 한국일보에 따르면 신혜성 모자(,증축 공사,180.9㎡,49,,,https://m.entertain.naver.com/home/article/108/0003380237,2025-10-31 14:05:00+09:00
"[단독] 신화 신혜성, '49억 투자' 논현동 건물 매각 추진","그룹 신화 멤버 신혜성, 2022년 5월 논현동 코너빌딩 매입 현재 57억~63억 원선 시장 매물로 나와신혜성. 라이브웍스컴퍼니 제공 그룹 신화 멤버 신혜성이 강남구 논현동 건물 ",증축 공사,180.9㎡,63,,,https://m.entertain.naver.com/home/article/469/0000894961,2025-10-31 11:12:00+09:00
'한국형 핵잠' 개발 길 텄지만… 원자력협정 개정 등 과제 [이종윤의 밀...,"보유할 SSN은 원자로로 추진 동력 얻어 '비핵무기' 美 필리조선소서 건조할듯 韓, 3600t급 진수 등 역량 키웠지만 독자형 개발 위해 핵연료 재처리 필요 원자력협정 개정 의해 ",설비투자,,5,,,https://n.news.naver.com/mnews/article/014/0005428321?sid=100,2025-11-02 19:07:00+09:00
다시 AI 바람…전력인프라·日 반도체 ETF 강세,'TIGER 코리아AI전력' 지난주 13% 올라 1위 日 어드반테스트 폭등에 관련 ETF 일제히 급등전력 인프라 기업에 투자하는 상장지수펀드(ETF)가 수익률 상위권을 휩쓸었다. ,설비투자,,1200,,,https://n.news.naver.com/mnews/article/015/0005205767?sid=101,2025-11-02 18:04:00+09:00
"도레이첨단소재, 새만금에 엔지니어링 플라스틱 공장 증설",도레이첨단소재는 전북 새만금산업단지에 연산 5000t 규모의 폴리페닐렌설파이드(PPS) 2호기 시설 증설을 완료했다고 2일 밝혔다. 도레이첨단소재는 고기능성 엔지니어링 플라스틱 시,공장 증설,,,전북,,https://n.news.naver.com/mnews/article/015/0005205663?sid=101,2025-11-02 14:01:00+09:00
소비쿠폰 효과 벌써 끝났나…‘반도체 후광’ 생산·투자 반등,"반도체 덕 산업생산 1% 증가 국가데이터처가 31일 발표한 ‘9월 산업활동동향’에 따르면, 9월 전산업 생산지수(2020년=100, 계절조정·농림어업 제외)는 115.5로 전월보다",설비투자,,,,,https://n.news.naver.com/mnews/article/024/0000100968?sid=102,2025-10-31 16:25:00+09:00
"삼성전자, 엔비디아에 HBM4 공급…업계 최대 'AI반도체' 공장 만든다",HBM4 등 차세대 메모리 공급 확대 인공지능이 직접 설계·제어하는 ‘AI 팩토리’ 구축 5만개 GPU 도입해 디지털 트윈 생산체계 구현 미세공정 오류 예측·보정…생산 효율 20배,라인 증설,,,,,https://n.news.naver.com/mnews/article/277/0005672828?sid=101,2025-10-31 15:03:00+09:00
‘반도체 효과’ 생산·투자 반등… 소비는 두달째 뒷걸음,‘반도체 효과’ 생산·투자 반등… 소비는 두달째 뒷걸음 생산 1%·설비투자 12% 늘어 건설투자 20개월래 최대 증가 급증하는 인공지능(AI) 수요에 대응하기 위해 반도체 기업들이,설비투자,,,,,https://n.news.naver.com/mnews/article/021/0002746703?sid=101,2025-10-31 11:44:00+09:00
"도레이첨단소재, 군산공장 PPS 라인 증설 …국내 최대 생산능력",[도레이첨단소재 제공. 재판매 및 DB 금지] (서울=연합뉴스) 조성흠 기자 = 도레이첨단소재는 전북특별자치도 새만금산업단지 소재 군산공장에 연산 5천t 규모의 PPS(Polyph,라인 증설,600t,,전북,,https://n.news.naver.com/mnews/article/001/0015718807?sid=101,2025-11-02 09:21:00+09:00
"정의선 회장 ""국가에 큰 도움 받았다…신세 꼭 갚겠다""","정의선 회장 ""국가에 큰 도움 받았다…신세 꼭 갚겠다"" 우 의장은 이날 페이스북에서 “전날 아시아태평양경제협력체(APEC) 만찬 자리에서 정 회장과 만났다는데, 이러한 말을 해서 ",공장 증설,,1,,,https://n.news.naver.com/mnews/article/022/0004079471?sid=101,2025-11-02 06:18:00+09:00
"관세 타결 하루 만에…정의선, 李대통령에 “큰 빚 졌습니다” 직접 감...","관세 25%→15% 인하... 현대차, 수조 원대 비용 절감 기대 한미 양국 간 자동차 관세 협상이 극적으로 타결된 이튿날, 이재명 대통령과 정의선 현대자동차그룹 회장이 31일 경",공장 증설,,1,경북,,https://n.news.naver.com/mnews/article/123/0002371100?sid=100,2025-11-01 13:01:00+09:00
"1~9월 설비 투자 , 4년 만에 최대폭 증가","자동차·반도체 기계 15% 이상 올 들어 1월부터 9월까지 설비 투자가 자동차와 반도체를 중심으로 4년 만에 최대폭으로 증가했다. 이처럼 최근 투자 회복세가 강해지는 모습이지만, ","시설 투자, 설비투자",,,,,https://n.news.naver.com/mnews/article/082/0001351689?sid=101,2025-11-02 18:14:00+09:00
"폐교 대신 휴교하는 부산 대규모 재개발지 학교들… 신연초등, 내년 재...",새 아파트 입주 맞춰 다시 문 열어 영도구 신선중도 2028년 휴교 예정 “도심 학교 신축 어려워 현실적 대안” 부산 남구 신연초등학교가 인근 재개발로 휴교한 지 2년 만인 내년 ,시설 투자,,,,,https://n.news.naver.com/mnews/article/082/0001351649?sid=102,2025-11-02 15:23:00+09:00
"이 대통령, 오늘 시진핑과 정상회담...APEC 정상회의 마무리","이 대통령, 오늘 시진핑과 정상회담...APEC 정상회의 마무리 ■ 출연 : 박원곤 이화여대 북한학과 교수 * 아래 텍스트는 실제 방송 내용과 차이가 있을 수 있으니 보다 정확한 ",시설 투자,,,제주,02-398-8585,https://n.news.naver.com/mnews/article/052/0002267217?sid=100,2025-11-01 10:50:00+09:00
‘100조 원+α’ 투자 유치 김동연…지구 5바퀴 돌았다[경기톡톡],국내외 격변기 속 이례적 성과 글로벌 기업 투자 돋보여···고용유발효과 27만명 재선 도전 행보 ‘청신호’ [서울경제] 김동연 경기도지사가 임기 내 ‘투자유치 100조 원+α’ 약,"투자협약, 투자유치, 투자 유치",1500억,5조 79억 원,경기도,,https://n.news.naver.com/mnews/article/011/0004550559?sid=102,2025-11-01 07:21:00+09:00
9월 투자 웃고… 설비 분야 4년래 최대폭 늘어 [반도체의 힘],9월 투자 웃고… 설비 분야 4년래 최대폭 늘어 [반도체의 힘] 설비투자지수 전년比 4.3% 증가 소매판매 불변지수 3년만에 ‘+’ 올해 9월까지 설비투자가 4년 만에 가장 크게 ,설비투자,,,,,https://n.news.naver.com/mnews/article/022/0004079622?sid=101,2025-11-02 20:02:00+09:00
"어묵명가 삼진식품, 코스닥 예심 통과…연내 상장 기대",- 인니·호주 등 해외 공략도 탄력 부산 대표 어묵기업 ‘삼진식품’이 코스닥시장 상장 예비 심사를 통과했다. 부산 기업이 신규 상장을 회피한다는 지적(국제신문 지난 9월 23일 자,신규 투자,,150,,,https://n.news.naver.com/mnews/article/658/0000124670?sid=101,2025-11-02 19:16:00+09:00
"젠슨 황 효과… ""AI·반도체·미래車 확실한 전환점 확보했다"" [경주 APE...","엔비디아 와 'AI동맹'강화 현대차, 관세 압박 떨치고 질주 빅호재에 코스피 4100선 돌파 ""글로벌 비즈니스사에 기록될 명장면이다."" 지난달 30일 밤 치맥(치킨에 맥주) 회동 ",신규 투자,,7,,,https://n.news.naver.com/mnews/article/014/0005428276?sid=101,2025-11-02 18:24:00+09:00
"""메모리반도체 호황 이어져 삼성·SK 투자 는 계속될 것""","""2018년 슈퍼사이클보다 좋아 내년까지 D램·낸드 모두 호황 국내 소재·부품기업에 기회"" ""2018년 슈퍼사이클보다 더 좋다. 메모리 반도체 시장의 좋은 상황은 내년까지 계속된다",신규 투자,,,,,https://n.news.naver.com/mnews/article/009/0005583198?sid=101,2025-11-02 17:24:00+09:00
"""내 생애 이런 순간을 보게 될 지 몰랐다"" APEC·젠슨 황 효과...韓 AI·반...","韓 AI, 반도체, 미래차 주도권 강화 계기 마련 코스피, APEC 기간 4.21% 상승 삼성전자, '11만 전자' 넘봐, 현대차도 상승 지난 10월 30일 밤 치맥(치킨에 맥주)",신규 투자,,7,,,https://n.news.naver.com/mnews/article/014/0005428223?sid=101,2025-11-02 16:33:00+09:00
"""100억 메가딜 터졌다""...10월 넷째주 투자 유치 스타트업 어디",스냅컴퍼니 등 8개 스타트업이 투자유치 소식을 전했다. 특히 모바일 세탁 서비스 '런드리고'를 운영하는 의식주컴퍼니가 LG전자로부터 총 100억원 규모의 전략적 투자를 유치했다. ,"신규 투자, 투자유치, 투자 유치",,100,,,https://n.news.naver.com/mnews/article/008/0005272118?sid=101,2025-11-02 15:00:00+09:00
"이철우 경북도지사 ""천년고도 경주, 글로벌 문화·관광도시 각인""","이철우 경상북도지사는 2일 ""APEC을 통해 경주는 세계 속의 문화도시로 확실히 각인됐다. 앞으로 세계 10대 관광도시로 도약할 수 있는 기반을 충분히 마련했다""고 밝혔다. 이 도","투자협약, 투자 유치",,,경북,,https://n.news.naver.com/mnews/article/088/0000978802?sid=102,2025-11-02 17:06:00+09:00
‘100조+α 달성’ 김동연 ‘플레이메이커’ 외교… 민선 8기 다섯번의 ...,2022년 취임 후 지구 다섯 바퀴 누적 비행거리 20만6천㎞ 강행군 직접 발로뛰며 경제 메카 이끌어 김동연 경기도지사가 민선 8기 취임 후 다섯 차례의 미국 출장 등을 통해 해외,"투자협약, 투자유치, 투자 유치",,5조 79억 원,경기도,,https://n.news.naver.com/mnews/article/666/0000086807?sid=100,2025-11-02 16:14:00+09:00
"신한은행, 코트라와 글로벌 진출· 투자 유치 지원 협약",[서울=뉴시스] 조현아 기자 = 신한은행은 지난달 31일 대한무역투자진흥공사(코트라)와 '글로벌 진출 및 투자유치 지원을 위한 업무협약'을 체결했다고 2일 밝혔다. 이번 협약은 국,"투자유치, 투자 유치",,,,,https://n.news.naver.com/mnews/article/003/0013575149?sid=101,2025-11-02 09:00:00+09:00
